Time (s),Position (m),Velocity (m/s),,,weight: 64.4g
0.36,0.158466,0.14791875,,,
0.38,0.1630965,0.3472875,,,
0.4,0.172872,0.5328409722,,,
0.42,0.18522,0.6802833333,,,
0.44,0.200655,0.7929493056,,,
0.46,0.217119,0.8920381944,,,
0.48,0.2361555,0.9949381944,,,
0.5,0.2570785,1.088072222,,,
0.52,0.2800595,1.163579861,,,
0.54,0.3037265,1.231703472,,,
0.56,0.3291085,1.305781944,,,
0.58,0.3562055,1.366997917,,,
0.6,0.38416,1.402250694,,,
0.62,0.412629,1.424402778,,,
0.64,0.442127,1.416780556,,,
0.66,0.46648,1.527302778,,,
0.68,0.502152,1.679509028,,,
0.7,0.5376525,1.668313889,,,
0.72,0.5685225,1.663788194,,,
0.74,0.6021365,1.735484722,,,
0.76,0.639009,1.779550694,,,
0.78,0.6734805,1.808372222,,,
0.8,0.7098385,1.883879861,,,
0.82,0.752885,1.796700694,,,
0.84,0.7808395,1.749538194,,,
