Time (s),Position (m),Velocity (m/s),,,mass: 23.8g
0.3,0.155722,0.1105222222,,,
0.32,0.16121,0.2674923611,,,
0.34,0.1678985,0.3651520833,,,
0.36,0.176302,0.4356576389,,,
0.38,0.18522,0.5030666667,,,
0.4,0.1963675,0.5711902778,,,
0.42,0.2080295,0.6385993056,,,
0.44,0.2224355,0.6802833333,,,
0.46,0.2354695,0.7038645833,,,
0.48,0.250733,0.7210145833,,,
0.5,0.2649675,0.7105340278,,,
0.52,0.2776585,0.7650805556,,,
0.54,0.296009,0.8043826389,,,
0.56,0.310072,0.8353479167,,,
0.58,0.328937,0.8827486111,,,
0.6,0.3462585,0.88965625,,,
0.62,0.364266,0.9072826389,,,
0.64,0.382788,0.9094263889,,,
0.66,0.4004525,0.9203833333,,,
0.68,0.4200035,0.917525,,,
0.7,0.4368105,0.9318166667,,,
0.72,0.4563615,0.9875541667,,,
0.74,0.4769415,1.01828125,,,
0.76,0.497007,1.052819444,,,
0.78,0.519302,1.073304167,,,
0.8,0.539882,1.095218056,,,
0.82,0.5630345,1.117608333,,,
0.84,0.5849865,1.123086806,,,
0.86,0.6079675,1.132614583,,,
0.88,0.629748,1.160959722,,,
0.9,0.6539295,1.206454861,,,
0.92,0.679826,1.175965972,,,
0.94,0.700749,1.154766667,,,
0.96,0.7245875,1.196688889,,,
0.98,0.748769,1.238849306,,,
1,0.773808,1.293872222,,,
