Time (s),Position (m),Velocity (m/s),,,weight: 56.4g
0.46,0.1579515,0.1171916667,,,
0.48,0.1596665,0.3389506944,,,
0.5,0.1716715,0.56595,,,
0.52,0.183848,0.7255402778,,,
0.54,0.200312,0.8829868056,,,
0.56,0.220549,0.9665930556,,,
0.58,0.2399285,1.003751389,,,
0.6,0.260337,1.049484722,,,
0.62,0.281603,1.108556944,,,
0.64,0.304584,1.174775,,,
0.66,0.3287655,1.233370833,,,
0.68,0.353976,1.285773611,,,
0.7,0.380387,1.326504861,,,
0.72,0.407484,1.347227778,,,
0.74,0.4340665,1.377240278,,,
0.76,0.4621925,1.42345,,,
0.78,0.4910045,1.471327083,,,
0.8,0.52136,1.510867361,,,
0.82,0.551201,1.556838889,,,
0.84,0.5829285,1.62710625,,,
0.86,0.6179145,1.62925,,,
0.88,0.64827,1.6249625,,,
0.9,0.6813695,1.684749306,,,
0.92,0.715841,1.740963194,,,
0.94,0.7513415,1.785267361,,,
0.96,0.787528,1.812659722,,,
0.98,0.823886,1.833620833,,,
1,0.86093,1.850532639,,,
