Time (s),Position (m),Velocity (m/s),,,weight: 32g
0.36,0.1634395,0.3615791667,,,
0.38,0.173901,0.4930625,,,
0.4,0.183848,0.5883402778,,,
0.42,0.1970535,0.6912402778,,,
0.44,0.2118025,0.7765138889,,,
0.46,0.228095,0.8567854167,,,
0.48,0.24696,0.8927527778,,,
0.5,0.2642815,0.9041861111,,,
0.52,0.282632,0.9332458333,,,
0.54,0.3016685,0.9606381944,,,
0.56,0.321048,0.9899361111,,,
0.58,0.341285,1.017328472,,,
0.6,0.361865,1.039004167,,,
0.62,0.382788,1.062109028,,,
0.64,0.404397,1.082117361,,,
0.66,0.4261775,1.101172917,,,
0.68,0.448301,1.124515972,,,
0.7,0.470596,1.165485417,,,
0.72,0.4961495,1.152146528,,,
0.74,0.5174155,1.112844444,,,
0.76,0.539196,1.139284028,,,
0.78,0.5616625,1.223843056,,,
0.8,0.588931,1.278627778,,,
0.82,0.614313,1.267194444,,,
0.84,0.639009,1.276007639,,,
0.86,0.664734,1.310307639,,,
0.88,0.6916595,1.341034722,,,
0.9,0.7184135,1.372,,,
0.92,0.7461965,1.416304167,,,
0.94,0.77518,1.455368056,,,
0.96,0.804678,1.482045833,,,
0.98,0.834519,1.501339583,,,
1,0.8648745,1.508247222,,,
