Time (s),Position (m),Velocity (m/s),,,weight: 124.5g
0.38,0.1593235,0.2003215278,,,
0.4,0.1651545,0.4559041667,,,
0.42,0.177331,0.7307805556,,,
0.44,0.1949955,0.9737388889,,,
0.46,0.2179765,1.1276125,,,
0.48,0.2413005,1.216459028,,,
0.5,0.266168,1.314833333,,,
0.52,0.2937795,1.415827778,,,
0.54,0.323106,1.506103472,,,
0.56,0.353976,1.596855556,,,
0.58,0.386904,1.688560417,,,
0.6,0.4217185,1.76645,,,
0.62,0.457905,1.833859028,,,
0.64,0.4954635,1.888167361,,,
0.66,0.5314785,2.017506944,,,
0.68,0.576926,2.110164583,,,
0.7,0.6186005,2.087297917,,,
0.72,0.6590745,2.1137375,,,
0.74,0.7022925,2.179717361,,,
0.76,0.7465395,2.248317361,,,
0.78,0.791301,2.35169375,,,
0.8,0.841036,2.435538194,,,
0.82,0.890428,2.45030625,,,
