Time (s),Position (m),Velocity (m/s),,,weight: 89g
0.36,0.1593235,0.02048472222,,,
0.38,0.1552075,0.2570118056,,,
0.4,0.167727,0.5854819444,,,
0.42,0.1819615,0.7786576389,,,
0.44,0.199626,0.9220506944,,,
0.46,0.219177,1.029,,,
0.48,0.2409575,1.124992361,,,
0.5,0.264453,1.206216667,,,
0.52,0.289149,1.288155556,,,
0.54,0.315903,1.371523611,,,
0.56,0.3442005,1.445125694,,,
0.58,0.37387,1.512296528,,,
0.6,0.40474,1.572559722,,,
0.62,0.4364675,1.643065278,,,
0.64,0.4714535,1.676174306,,,
0.66,0.5030095,1.728100694,,,
0.68,0.5393675,1.826713194,,,
0.7,0.577955,1.850770833,,,
0.72,0.613284,1.880306944,,,
0.74,0.6517,1.967247917,,,
0.76,0.6926885,2.030369444,,,
0.78,0.7331625,2.088965278,,,
0.8,0.775523,2.1737625,,,
0.82,0.8199415,2.249746528,,,
0.84,0.867104,2.254272222,,,
0.86,0.9125515,2.148752083,,,
0.88,0.95011,2.157565278,,,
