Time (s),Position (m),Velocity (m/s),,,weight: 16.1g
0.24,0.156751,0.1138569444,,,
0.26,0.16121,0.2353361111,,,
0.28,0.1672125,0.3120347222,,,
0.3,0.1747585,0.3387125,,,
0.32,0.1802465,0.38373125,,,
0.34,0.1895075,0.4516166667,,,
0.36,0.1984255,0.5159291667,,,
0.38,0.2111165,0.5387958333,,,
0.4,0.2196915,0.5678555556,,,
0.42,0.2334115,0.6119215278,,,
0.44,0.2450735,0.6176381944,,,
0.46,0.2577645,0.6376465278,,,
0.48,0.270627,0.6536055556,,,
0.5,0.2838325,0.6750430556,,,
0.52,0.2975525,0.6988625,,,
0.54,0.3119585,0.7136305556,,,
0.56,0.326193,0.7274458333,,,
0.58,0.3411135,0.7369736111,,,
0.6,0.3548335,0.7788958333,,,
0.62,0.3733555,0.7808013889,,,
0.64,0.386218,0.7746083333,,,
0.66,0.4025105,0.8384444444,,,
0.68,0.4217185,0.82105625,,,
0.7,0.4357815,0.7834215278,,,
0.72,0.451731,0.7922347222,,,
0.74,0.468538,0.7681770833,,,
0.76,0.4820865,0.7698444444,,,
0.78,0.497007,0.8684569444,,,
0.8,0.51793,0.9299111111,,,
0.82,0.5352515,0.9425354167,,,
0.84,0.554288,0.9997020833,,,
0.86,0.577269,0.9704041667,,,
0.88,0.592704,0.9570652778,,,
0.9,0.614313,0.9870777778,,,
0.92,0.6336925,0.9606381944,,,
0.94,0.652729,0.9401534722,,,
0.96,0.6697075,0.9825520833,,,
0.98,0.692174,1.023283333,,,
1,0.7118965,1.012088194,,,
